courseId,title,status,hasDescription,descriptionChars,hasLevel,objectiveCount,cmeCode,cmeCredits,cmeUrl
681a4b8a779a0d9e6c9cc62d,"POCUS for Primary Care Course on November 15-16, 2024",published,yes,384,no,0,,,
681a4b8b779a0d9e6c9cc632,"POCUS for Primary Care Course on November 23-24, 2024",published,yes,384,no,0,,,
681a4b8b779a0d9e6c9cc637,"Introduction to POCUS on May 11, 2024",published,yes,367,no,0,,,
681a4b8c779a0d9e6c9cc63c,"Introduction to POCUS on May 15, 2024",published,yes,367,no,0,,,
681a4b8d779a0d9e6c9cc641,"Introduction to POCUS on June 12, 2024",published,yes,368,no,0,,,
681a4b8e779a0d9e6c9cc646,"Introduction to POCUS on June 13, 2024",published,yes,368,no,0,,,
681a4b8f779a0d9e6c9cc64b,"Introduction to POCUS on June 28, 2024",published,yes,368,no,0,,,
681a4b90779a0d9e6c9cc650,"Introduction to POCUS on July 13, 2024",published,yes,368,no,0,,,
681a4b91779a0d9e6c9cc655,"Introduction to POCUS on November 16, 2024",published,yes,372,no,0,,,
681a4b92779a0d9e6c9cc65a,"Introduction to POCUS on May 10, 2025",published,yes,368,no,0,,,
681a4b93779a0d9e6c9cc65f,"Introduction to POCUS for NYC Health & Hospitals November 18-19, 2024",published,yes,409,no,0,,,
681a4b94779a0d9e6c9cc664,"Introduction to POCUS for NYC Health & Hospitals October 23-24, 2024",published,yes,408,no,0,,,
681a4b95779a0d9e6c9cc669,Kenya Ampath Assignment Test,published,yes,469,no,0,,,
681a4b95779a0d9e6c9cc66e,Point of Care Ultrasound (POCUS) in Emergency Obstetrics in Western and Savannah regions of Ghana,published,yes,401,no,0,,,
681a4b96779a0d9e6c9cc673,IVIS,published,yes,408,no,0,,,
681a4b97779a0d9e6c9cc678,Kenya AMPATH 2025,published,yes,471,no,0,,,
681a4b98779a0d9e6c9cc67d,GUSI Nursing Essentials,published,yes,402,no,0,,,
681a4b99779a0d9e6c9cc682,Simulation Cases : Essentials,published,yes,386,no,0,,,
681a4b9a779a0d9e6c9cc687,"POCUS for Primary Care on April 17-18, 2025",published,yes,374,no,0,,,
681a580594674ddbe8a40a8d,GUSI Essentials Course 2022,draft,yes,412,no,0,,,
6838f5d7779320842166bc67,AI,draft,yes,8,no,0,,,
68400062b5a336870cbbf96f,AMPATH Courses for Nurses & Midwives,published,yes,495,no,0,,,
684b179ffbcbd77381695d2e,GUSI Instructor Onboarding Program,draft,yes,351,no,0,,,
68518e64b65efa9e50365956,test pocus sample,published,yes,384,no,0,,,
685d521f46c15758459c0f92,Test Course Charlize,published,yes,448,no,0,,,
68660c967e2a6402d8d11e9b,Simulation Cases : Obstetrics,published,yes,408,no,0,,,
68f01e162ffdcf6a750f07ee,Physical Therapy POCUS Essentials: Missing Quizzes,published,yes,390,no,0,,,
68f04e61fa8359afd6836877,Virtual Essential General Medicine Fellowship,published,yes,362,no,0,,,
68f1d097d78833d809ae08c4,Virtual MSK Fellowship,published,yes,487,no,0,,,
68f2be225eaa9b7b3b6d6cf8,"US Basics, Lung, and FASH",published,yes,397,no,0,,,
68f300b847378c19b1f4735b,Virtual Paediatrics (Paeds) Fellowship,published,yes,527,no,0,,,
68fe150ecf9051a04df1f745,OB Emergency Course,published,yes,26,no,0,,,
692c752d6c39e6299557e3cb,GUSI Infectious Disease Essentials,published,yes,447,no,0,,,
694dc655f15b724c329612ea,Kenya AMPATH OB Essentials,draft,yes,424,no,0,,,
695f06dd282fec537fb87767,Fellowship Advanced OB 1st Tri Module,published,yes,427,no,0,,,
696ffe9e72c2fdb50eba2f11,"FAST/e-FAST, Cardiac & Lung POCUS Modules",published,yes,61,no,0,,,
697d8767fe01ed2bebf19234,Critical Care Essentials,published,yes,414,no,0,,,
69854e634f73c61d5c5c01b2,"General Medicine, MSK, & Pediatrics",published,yes,545,no,0,,,
69b8a172951fd162a60a9b8b,Fellowship Knee Module,published,yes,350,no,0,,,
69bdd60f2b7ea17fe980ddc6,Fellowship Advanced OB 2nd/3rd Tri Module,published,yes,447,no,0,,,
69bdeac884378295c44efffe,Virtual Essential General Medicine Fellowship,published,yes,553,no,0,,,
69c4b8a72f93946f36f47123,Course Testing,published,yes,360,no,0,,,
69d5b993876b8c615899abb0,GUSI Breast Essentials,published,yes,17,no,0,,,
69e70c7d15df13dc42e291f2,Fellowship MSK Modules,published,yes,24,no,0,,,
69f1486ab0781dc5293a2e49,Course Example Creation,published,yes,370,no,0,,,
6a0beb62bcc4dc7dbb176b95,FASH Fellowship Modules,published,yes,371,no,0,,,
6a0d5eba75ec9cd7be295c32,Vascular Module,published,yes,29,no,0,,,
6a2a4f85474604b5c7f09ff3,FAST Module,published,yes,344,no,0,,,
6a2a5d45bc9e6e6259db277d,1st Tri Overview Module,published,yes,369,no,0,,,
6a2a6095f33bfdc0ab5ca4ab,Postpartum Considerations Module,published,yes,386,no,0,,,
6a34d99f35689d6ac04fddd4,Fellowship Pediatric Constipation Module,published,yes,371,no,0,,,
6a3cbdebfdc1aa81fda43d0f,Fellowship Wrist Module,published,yes,363,no,0,,,
6a4dc3ef25baff4eaed6303d,Fellowship Fetal Dating & Biometry (2nd/3rd Tri) ,published,yes,421,no,0,,,
6a4dfaaded8a5fe687479da3,Fellowship Biophysical Profile,published,no,0,no,0,,,
6a9611396104644a61a8a40b,SOFAM 2026-2027,published,yes,371,no,0,,,
6a9626fd58c1f0e3480e93c1,GUSI POCUS Internal Medicine Essentials,published,yes,421,no,0,,,
